first_name,males,connection_date
antoine,True,2014-12-31
clotilde,False,2014-12-31
pierre,True,2014-12-31
marine-sophie,False,2014-12-31
ariane,False,2014-12-31
brieuc,True,2014-12-31
jean-baptiste,True,2014-12-31
antoine,True,2014-12-31
leanne,False,2014-12-31
quentin,True,2014-12-31
benjamin,True,2014-12-31
marion,False,2014-12-31
patrick,True,2014-12-31
anne-sophie,False,2014-11-13
benjamin,True,2014-10-26
karine,False,2014-10-21
alain,False,2014-10-21
gabrielle,False,2014-10-18
leprince,True,2014-10-16
remi,True,2014-10-16
